WB2,MA1,HH6,HH7,windex5,religion,HL11,HL13,Dropout,helevel
16,1,2,30,2,1,1,1,2,1
16,1,2,30,2,1,1,1,2,1
16,1,2,30,2,1,1,1,2,1
15,1,2,30,2,1,1,1,2,1
15,1,2,30,2,1,1,1,2,1
17,1,1,30,2,1,1,1,2,1
17,0,2,20,2,1,1,1,2,1
17,0,2,20,2,1,1,1,2,1
17,0,2,20,2,1,1,1,2,1
17,0,2,20,2,1,1,1,2,1
17,0,2,20,2,1,1,1,2,1
17,0,2,20,2,1,1,1,2,1
17,0,2,20,2,1,1,1,2,1
17,0,2,20,2,1,1,1,2,1
17,0,2,20,2,1,1,1,2,1
16,0,2,20,2,1,1,1,2,1
16,0,2,20,2,1,1,1,2,1
16,0,2,20,2,1,1,1,2,1
16,0,2,20,2,1,1,1,2,1
16,0,2,20,2,1,1,1,2,1
16,0,2,20,2,1,1,1,2,1
15,0,2,20,2,1,1,1,2,1
15,0,2,20,2,1,1,1,2,1
15,0,2,20,2,1,1,1,2,1
15,0,2,20,2,1,1,1,2,1
15,0,2,20,2,1,1,1,2,1
15,0,2,20,2,1,1,1,2,1
15,0,2,20,2,1,1,1,2,1
17,1,2,20,2,1,1,1,2,1
16,1,2,20,2,1,1,1,2,1
16,1,2,20,2,1,1,1,2,1
16,1,2,20,2,1,1,1,2,1
15,1,2,20,2,1,1,1,2,1
15,1,2,20,2,1,1,1,2,1
16,0,1,20,2,1,1,1,2,1
16,0,1,20,2,1,1,1,2,1
16,0,1,20,2,1,1,1,2,1
15,0,1,20,2,1,1,1,2,1
15,0,1,20,2,1,1,1,2,1
17,1,1,20,2,1,1,1,2,1
17,1,1,20,2,1,1,1,2,1
17,0,2,10,2,1,1,1,2,1
17,0,2,10,2,1,1,1,2,1
16,0,2,10,2,1,1,1,2,1
15,0,2,10,2,1,1,1,2,1
15,0,2,10,2,1,1,1,2,1
15,0,2,10,2,1,1,1,2,1
15,0,2,10,2,1,1,1,2,1
17,1,2,10,2,1,1,1,2,1
17,1,2,10,2,1,1,1,2,1
17,1,2,10,2,1,1,1,2,1
16,1,2,10,2,1,1,1,2,1
16,1,2,10,2,1,1,1,2,1
15,1,2,10,2,1,1,1,2,1
16,0,1,10,2,1,1,1,2,1
15,0,2,20,1,6,1,1,2,1
17,0,2,50,1,4,1,1,2,1
17,0,2,20,1,3,1,1,2,1
17,0,2,20,1,3,1,1,2,1
17,0,2,20,1,3,1,1,2,1
17,0,2,20,1,3,1,1,2,1
17,0,2,20,1,3,1,1,2,1
17,0,2,20,1,3,1,1,2,1
17,0,2,20,1,3,1,1,2,1
16,0,2,20,1,3,1,1,2,1
16,0,2,20,1,3,1,1,2,1
16,0,2,20,1,3,1,1,2,1
15,0,2,20,1,3,1,1,2,1
15,0,2,20,1,3,1,1,2,1
15,0,2,20,1,3,1,1,2,1
15,0,2,20,1,3,1,1,2,1
15,0,2,20,1,3,1,1,2,1
15,0,2,20,1,3,1,1,2,1
17,1,2,20,1,3,1,1,2,1
17,1,2,20,1,3,1,1,2,1
16,0,1,20,1,3,1,1,2,1
16,0,2,60,1,2,1,1,2,1
16,0,2,60,1,2,1,1,2,1
16,0,2,55,1,2,1,1,2,1
16,0,2,55,1,2,1,1,2,1
15,0,2,55,1,2,1,1,2,1
17,0,1,55,1,2,1,1,2,1
16,1,1,55,1,2,1,1,2,1
16,0,2,50,1,2,1,1,2,1
17,0,2,40,1,2,1,1,2,1
15,0,2,40,1,2,1,1,2,1
17,0,2,30,1,2,1,1,2,1
17,0,2,20,1,2,1,1,2,1
17,0,2,20,1,2,1,1,2,1
15,0,2,20,1,2,1,1,2,1
16,0,1,20,1,2,1,1,2,1
15,0,1,20,1,2,1,1,2,1
17,0,2,10,1,2,1,1,2,1
15,0,1,10,1,2,1,1,2,1
17,0,2,60,1,1,1,1,2,1
17,0,2,60,1,1,1,1,2,1
17,0,2,60,1,1,1,1,2,1
17,0,2,60,1,1,1,1,2,1
17,0,2,60,1,1,1,1,2,1
17,0,2,60,1,1,1,1,2,1
17,0,2,60,1,1,1,1,2,1
17,0,2,60,1,1,1,1,2,1
17,0,2,60,1,1,1,1,2,1
17,0,2,60,1,1,1,1,2,1
17,0,2,60,1,1,1,1,2,1
16,0,2,60,1,1,1,1,2,1
16,0,2,60,1,1,1,1,2,1
16,0,2,60,1,1,1,1,2,1
16,0,2,60,1,1,1,1,2,1
16,0,2,60,1,1,1,1,2,1
16,0,2,60,1,1,1,1,2,1
16,0,2,60,1,1,1,1,2,1
16,0,2,60,1,1,1,1,2,1
16,0,2,60,1,1,1,1,2,1
16,0,2,60,1,1,1,1,2,1
16,0,2,60,1,1,1,1,2,1
16,0,2,60,1,1,1,1,2,1
16,0,2,60,1,1,1,1,2,1
15,0,2,60,1,1,1,1,2,1
15,0,2,60,1,1,1,1,2,1
15,0,2,60,1,1,1,1,2,1
15,0,2,60,1,1,1,1,2,1
15,0,2,60,1,1,1,1,2,1
15,0,2,60,1,1,1,1,2,1
15,0,2,60,1,1,1,1,2,1
17,1,2,60,1,1,1,1,2,1
17,0,1,60,1,1,1,1,2,1
17,0,1,60,1,1,1,1,2,1
17,0,2,55,1,1,1,1,2,1
17,0,2,55,1,1,1,1,2,1
17,0,2,55,1,1,1,1,2,1
17,0,2,55,1,1,1,1,2,1
17,0,2,55,1,1,1,1,2,1
17,0,2,55,1,1,1,1,2,1
16,0,2,55,1,1,1,1,2,1
16,0,2,55,1,1,1,1,2,1
16,0,2,55,1,1,1,1,2,1
16,0,2,55,1,1,1,1,2,1
